"StichtagDatJahr","KreisSort","KreisCd","KreisLang","SteuerTarifSort","SteuerTarifCd","SteuerTarifLang","SteuerEinkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
2006,7,"7","Kreis 7",0,"00","Grundtarif",46.45,20,76.3
2006,7,"7","Kreis 7",1,"01","Verheiratetentarif",108.6,65.6,184.2
2006,7,"7","Kreis 7",2,"02","Einelternfamilientarif",56.7,34.5,91.7
2006,8,"8","Kreis 8",0,"00","Grundtarif",48,22.1,75.45
2006,8,"8","Kreis 8",1,"01","Verheiratetentarif",93.4,59.6,152.8
2006,8,"8","Kreis 8",2,"02","Einelternfamilientarif",47.2,30.6,72.4
2006,9,"9","Kreis 9",0,"00","Grundtarif",36.9,19.4,55
2006,9,"9","Kreis 9",1,"01","Verheiratetentarif",61.7,43.1,85.5
2006,9,"9","Kreis 9",2,"02","Einelternfamilientarif",33.8,18.2,52
2006,10,"10","Kreis 10",0,"00","Grundtarif",43.3,21.9,65
2006,10,"10","Kreis 10",1,"01","Verheiratetentarif",75.9,52,112.7
2006,10,"10","Kreis 10",2,"02","Einelternfamilientarif",40.7,23.7,60.1
2006,11,"11","Kreis 11",0,"00","Grundtarif",37,18.5,56.8
2006,11,"11","Kreis 11",1,"01","Verheiratetentarif",63.2,42.3,89.5
2006,11,"11","Kreis 11",2,"02","Einelternfamilientarif",34.6,15,52.1
2006,12,"12","Kreis 12",0,"00","Grundtarif",30.1,15.3,45.5
2006,12,"12","Kreis 12",1,"01","Verheiratetentarif",55.2,37.05,74.8
2006,12,"12","Kreis 12",2,"02","Einelternfamilientarif",28.7,7.9,42.5
2007,1,"1","Kreis 1",0,"00","Grundtarif",47.2,19,82.5
2007,1,"1","Kreis 1",1,"01","Verheiratetentarif",108.8,65.8,177.4
2007,1,"1","Kreis 1",2,"02","Einelternfamilientarif",50,27,86.8
2007,2,"2","Kreis 2",0,"00","Grundtarif",43,21.3,68.4
2007,2,"2","Kreis 2",1,"01","Verheiratetentarif",81.2,54.2,127.6
2007,2,"2","Kreis 2",2,"02","Einelternfamilientarif",42.1,24,70.5
2007,3,"3","Kreis 3",0,"00","Grundtarif",39.9,20,60.5
2007,3,"3","Kreis 3",1,"01","Verheiratetentarif",62.1,40.3,89.7
2007,3,"3","Kreis 3",2,"02","Einelternfamilientarif",36.05,19.9,55.4
2007,4,"4","Kreis 4",0,"00","Grundtarif",34.7,16.9,55.3
2007,4,"4","Kreis 4",1,"01","Verheiratetentarif",52.25,33.3,74.85
2007,4,"4","Kreis 4",2,"02","Einelternfamilientarif",29.4,9.8,45.6
2007,5,"5","Kreis 5",0,"00","Grundtarif",43.5,21.6,66
2007,5,"5","Kreis 5",1,"01","Verheiratetentarif",60,39.4,86.4
2007,5,"5","Kreis 5",2,"02","Einelternfamilientarif",36.8,18,58.1
2007,6,"6","Kreis 6",0,"00","Grundtarif",45.6,22.6,71.9
2007,6,"6","Kreis 6",1,"01","Verheiratetentarif",84.1,55.2,135.2
2007,6,"6","Kreis 6",2,"02","Einelternfamilientarif",45.7,28,72.6
2007,7,"7","Kreis 7",0,"00","Grundtarif",48.85,21.1,80.9
2007,7,"7","Kreis 7",1,"01","Verheiratetentarif",112.3,69,190.7
2007,7,"7","Kreis 7",2,"02","Einelternfamilientarif",58,35,101.3
2007,8,"8","Kreis 8",0,"00","Grundtarif",50.6,23.1,81.6
2007,8,"8","Kreis 8",1,"01","Verheiratetentarif",97.05,62.5,161.6
2007,8,"8","Kreis 8",2,"02","Einelternfamilientarif",50.55,30.5,78.7
2007,9,"9","Kreis 9",0,"00","Grundtarif",38.4,20,57.3
2007,9,"9","Kreis 9",1,"01","Verheiratetentarif",64.3,44.7,89.3
2007,9,"9","Kreis 9",2,"02","Einelternfamilientarif",36.25,19.75,53.55
2007,10,"10","Kreis 10",0,"00","Grundtarif",44.8,22.8,67.2
2007,10,"10","Kreis 10",1,"01","Verheiratetentarif",79.5,54.8,119
2007,10,"10","Kreis 10",2,"02","Einelternfamilientarif",42.8,24.7,62.3
2007,11,"11","Kreis 11",0,"00","Grundtarif",38.6,19.8,59
2007,11,"11","Kreis 11",1,"01","Verheiratetentarif",65.6,44.2,92.8
2007,11,"11","Kreis 11",2,"02","Einelternfamilientarif",33.8,16.8,52.3
2007,12,"12","Kreis 12",0,"00","Grundtarif",31.1,16,46.6
2007,12,"12","Kreis 12",1,"01","Verheiratetentarif",56.8,38.2,76.3
2007,12,"12","Kreis 12",2,"02","Einelternfamilientarif",29.5,10.1,44.3
2008,1,"1","Kreis 1",0,"00","Grundtarif",48.7,19.8,88.8
2008,1,"1","Kreis 1",1,"01","Verheiratetentarif",117.85,69.1,186.8
2008,1,"1","Kreis 1",2,"02","Einelternfamilientarif",51.9,27.5,93.5
2008,2,"2","Kreis 2",0,"00","Grundtarif",44.8,22.2,70.7
2008,2,"2","Kreis 2",1,"01","Verheiratetentarif",85.5,56.1,134.6
2008,2,"2","Kreis 2",2,"02","Einelternfamilientarif",44.9,24.8,68.6
2008,3,"3","Kreis 3",0,"00","Grundtarif",40.8,20,62.9
2008,3,"3","Kreis 3",1,"01","Verheiratetentarif",64.4,42,93.6
2008,3,"3","Kreis 3",2,"02","Einelternfamilientarif",37.6,20,56.4
