"StichtagDatJahr","StichtagDatMonat","RaumeinheitSort","RaumeinheitLang","GliederungSort","GliederungLang","ZimmerSort","ZimmerLang","GemeinnuetzigSort","GemeinnuetzigLang","EinheitSort","EinheitLang","PreisartSort","PreisartLang","mean","meanl","meanu","qu10","qu10l","qu10u","qu25","qu25l","qu25u","qu50","qu50l","qu50u","qu75","qu75l","qu75u","qu90","qu90l","qu90u","Domain","Sample1","Sample2"
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1194,1134,1254,770,732,840,915,851,962,1117,1065,1150,1256,1230,1316,1500,1361,1858,3601,668,127
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",2,"2 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1194,1143,1244,834,776,879,962,927,995,1187,1094,1222,1374,1323,1435,1576,1495,1758,3373,664,168
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1326,1266,1386,887,779,941,1046,996,1072,1259,1150,1325,1500,1450,1610,1858,1688,2089,6856,1234,178
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",3,"3 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1383,1341,1424,927,888,992,1123,1076,1185,1343,1280,1400,1590,1541,1668,1929,1778,1997,6413,1174,238
2022,"2022.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1731,1668,1793,1090,1037,1156,1272,1235,1378,1591,1537,1657,1988,1880,2149,2550,2405,2808,4327,706,179
2024,"2024.04",1,"Ganze Stadt",5,"Bestand Mietverträge über 20 Jahre",4,"4 Zimmer",2,"Nicht gemeinnützig",1,"Wohnung",1,"Netto",1788,1731,1845,1152,1109,1220,1382,1315,1436,1672,1621,1715,2083,1971,2142,2558,2429,2798,4052,680,238
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",16.14,16,16.27,11.65,11.52,11.78,13.07,12.97,13.2,15.34,15.15,15.56,18.11,17.87,18.39,21.59,21.29,21.88,11106,7152,504
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",2,"2 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",17.22,17.07,17.37,12.24,12.1,12.37,14.04,13.87,14.2,16.54,16.32,16.7,19.58,19.39,19.71,22.75,22.46,23.06,11437,7430,461
2022,"2022.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",14.14,14.04,14.25,10.37,10.3,10.47,11.69,11.6,11.79,13.48,13.38,13.59,15.97,15.81,16.11,18.46,18.23,18.7,22955,14593,605
2024,"2024.04",1,"Ganze Stadt",0,"Ganze Stadt",3,"3 Zimmer",1,"Gemeinnützig",2,"Quadratmeter",1,"Netto",15.07,14.98,15.15,11.06,10.95,11.16,12.58,12.47,12.68,14.53,14.44,14.62,16.94,16.82,17.07,19.71,19.55,19.97,23071,15107,620
